comp, swap, thresh, size, cpu_time, -->, time
9000000, 0, -1, 220, 0.235628, -->, 0.238s
2190000, 0, 240, 220, 0.014252, -->, 0.016s
9000000, 0, -1, 220, 0.236857, -->, 0.241s
2190000, 0, 240, 220, 0.012218, -->, 0.016s
9000000, 0, -1, 220, 0.235265, -->, 0.237s
2190000, 0, 240, 220, 0.011768, -->, 0.015s
9000000, 0, -1, 220, 0.234934, -->, 0.239s
2190000, 0, 240, 220, 0.013084, -->, 0.016s
9000000, 0, -1, 220, 0.239165, -->, 0.243s
 
2180000, 0, 240, 219, 0.014020, -->, 0.017s
8970000, 0, -1, 219, 0.233850, -->, 0.237s
2180000, 0, 240, 219, 0.011128, -->, 0.015s
8970000, 0, -1, 219, 0.230080, -->, 0.235s
2180000, 0, 240, 219, 0.012502, -->, 0.015s
8970000, 0, -1, 219, 0.231745, -->, 0.235s
2180000, 0, 240, 219, 0.014140, -->, 0.016s
8970000, 0, -1, 219, 0.228431, -->, 0.232s
2180000, 0, 240, 219, 0.011040, -->, 0.015s
8970000, 0, -1, 219, 0.226380, -->, 0.232s
2180000, 0, 240, 219, 0.010078, -->, 0.015s
8970000, 0, -1, 219, 0.233045, -->, 0.236s
2180000, 0, 240, 219, 0.014332, -->, 0.016s
8970000, 0, -1, 219, 0.241063, -->, 0.244s
2180000, 0, 240, 219, 0.013809, -->, 0.016s
8970000, 0, -1, 219, 0.232742, -->, 0.238s
2180000, 0, 240, 219, 0.010267, -->, 0.015s
8970000, 0, -1, 219, 0.237437, -->, 0.240s
2180000, 0, 240, 219, 0.010800, -->, 0.016s
8970000, 0, -1, 219, 0.241333, -->, 0.243s
 
2170000, 0, 240, 218, 0.010924, -->, 0.016s
8930000, 0, -1, 218, 0.237169, -->, 0.239s
2170000, 0, 240, 218, 0.013737, -->, 0.015s
8930000, 0, -1, 218, 0.228829, -->, 0.231s
2170000, 0, 240, 218, 0.012166, -->, 0.015s
8930000, 0, -1, 218, 0.243392, -->, 0.245s
2170000, 0, 240, 218, 0.014126, -->, 0.016s
8930000, 0, -1, 218, 0.232518, -->, 0.235s
2170000, 0, 240, 218, 0.011817, -->, 0.016s
8930000, 0, -1, 218, 0.238093, -->, 0.240s
2170000, 0, 240, 218, 0.012660, -->, 0.015s
8930000, 0, -1, 218, 0.231453, -->, 0.233s
2170000, 0, 240, 218, 0.012877, -->, 0.015s
8930000, 0, -1, 218, 0.231884, -->, 0.234s
2170000, 0, 240, 218, 0.011303, -->, 0.016s
8930000, 0, -1, 218, 0.233367, -->, 0.235s
2170000, 0, 240, 218, 0.010154, -->, 0.015s
8930000, 0, -1, 218, 0.229374, -->, 0.234s
2170000, 0, 240, 218, 0.011528, -->, 0.018s
8930000, 0, -1, 218, 0.233571, -->, 0.238s
 
2160000, 0, 240, 217, 0.010578, -->, 0.016s
8890000, 0, -1, 217, 0.232690, -->, 0.236s
2160000, 0, 240, 217, 0.013727, -->, 0.016s
8890000, 0, -1, 217, 0.232935, -->, 0.236s
2160000, 0, 240, 217, 0.012555, -->, 0.016s
8890000, 0, -1, 217, 0.231292, -->, 0.234s
2160000, 0, 240, 217, 0.013992, -->, 0.016s
8890000, 0, -1, 217, 0.232416, -->, 0.234s
2160000, 0, 240, 217, 0.010983, -->, 0.015s
8890000, 0, -1, 217, 0.230251, -->, 0.235s
2160000, 0, 240, 217, 0.011650, -->, 0.015s
8890000, 0, -1, 217, 0.230818, -->, 0.233s
2160000, 0, 240, 217, 0.010725, -->, 0.015s
8890000, 0, -1, 217, 0.233665, -->, 0.236s
2160000, 0, 240, 217, 0.013694, -->, 0.015s
8890000, 0, -1, 217, 0.240356, -->, 0.243s
2160000, 0, 240, 217, 0.012849, -->, 0.015s
8890000, 0, -1, 217, 0.231972, -->, 0.236s
2160000, 0, 240, 217, 0.013082, -->, 0.015s
8890000, 0, -1, 217, 0.228347, -->, 0.232s
 
2150000, 0, 240, 216, 0.012089, -->, 0.015s
8840000, 0, -1, 216, 0.230319, -->, 0.233s
2150000, 0, 240, 216, 0.010742, -->, 0.015s
8840000, 0, -1, 216, 0.230051, -->, 0.233s
2150000, 0, 240, 216, 0.010860, -->, 0.015s
8840000, 0, -1, 216, 0.230225, -->, 0.232s
2150000, 0, 240, 216, 0.010937, -->, 0.015s
8840000, 0, -1, 216, 0.242409, -->, 0.245s
2150000, 0, 240, 216, 0.010923, -->, 0.016s
8840000, 0, -1, 216, 0.229573, -->, 0.234s
2150000, 0, 240, 216, 0.011555, -->, 0.015s
8840000, 0, -1, 216, 0.230902, -->, 0.234s
2150000, 0, 240, 216, 0.013530, -->, 0.015s
